outcome,team0_sn_fg,team0_sn_fga,team0_sn_fgp,team0_sn_3pfg,team0_sn_3pfga,team0_sn_fg_3pfgp,team0_sn_2pfg,team0_sn_2pfga,team0_sn_2pfgp,team0_sn_ft,team0_sn_fta,team0_sn_ftp,team0_sn_orb,team0_sn_drb,team0_sn_trb,team0_sn_ast,team0_sn_stl,team0_sn_blk,team0_sn_tov,team0_sn_pf,team0_sn_pts,team1_sn_fg,team1_sn_fga,team1_sn_fgp,team1_sn_3pfg,team1_sn_3pfga,team1_sn_fg_3pfgp,team1_sn_2pfg,team1_sn_2pfa,team1_sn_2pfgp,team1_sn_ft,team1_sn_fta,team1_sn_ftp,team1_sn_orb,team1_sn_drb,team1_sn_trb,team1_sn_ast,team1_sn_stl,team1_sn_blk,team1_sn_tov,team1_sn_pf,team1_sn_pts,team0_matchup_fg,team0_matchup_fga,team0_matchup_fgp,team0_matchup_3pfg,team0_matchup_3pfga,team0_matchup_fg_3pfgp,team0_matchup_ft,team0_matchup_fta,team0_matchup_ftp,team0_matchup_orb,team0_matchup_drb,team0_matchup_trb,team0_matchup_ast,team0_matchup_stl,team0_matchup_blk,team0_matchup_tov,team0_matchup_pf,team0_matchup_pts,team1_matchup_fg,team1_matchup_fga,team1_matchup_fgp,team1_matchup_3pfg,team1_matchup_3pfga,team1_matchup_fg_3pfgp,team1_matchup_ft,team1_matchup_fta,team1_matchup_ftp,team1_matchup_orb,team1_matchup_drb,team1_matchup_trb,team1_matchup_ast,team1_matchup_stl,team1_matchup_blk,team1_matchup_tov,team1_matchup_pf,team1_matchup_pts
0,37.4,82.9,0.451,3.8,11.7,0.323,33.6,71.2,0.471,18.2,24.5,0.743,15.2,29.7,44.9,23.8,8.5,4.3,14.4,20.6,96.7,36.5,74.5,0.49,3.0,8.2,0.372,33.5,66.4,0.504,24.9,32.2,0.773,11.7,29.3,41.1,25.2,7.9,5.0,15.4,23.9,101.0,33.25,80.5,0.41300000000000003,5.0,16.75,0.30925,17.75,24.75,0.734,15.0,27.5,42.5,22.5,10.0,3.75,12.5,21.25,89.25,30.75,71.25,0.4325,1.5,9.0,0.1825,17.0,21.75,0.771,10.75,28.75,39.5,21.75,7.0,2.5,16.75,25.5,80.0
1,36.5,74.5,0.49,3.0,8.2,0.372,33.5,66.4,0.504,24.9,32.2,0.773,11.7,29.3,41.1,25.2,7.9,5.0,15.4,23.9,101.0,37.4,82.9,0.451,3.8,11.7,0.323,33.6,71.2,0.471,18.2,24.5,0.743,15.2,29.7,44.9,23.8,8.5,4.3,14.4,20.6,96.7,30.75,71.25,0.4325,1.5,9.0,0.1825,17.0,21.75,0.771,10.75,28.75,39.5,21.75,7.0,2.5,16.75,25.5,80.0,33.25,80.5,0.41300000000000003,5.0,16.75,0.30925,17.75,24.75,0.734,15.0,27.5,42.5,22.5,10.0,3.75,12.5,21.25,89.25
0,37.4,82.9,0.451,3.8,11.7,0.323,33.6,71.2,0.471,18.2,24.5,0.743,15.2,29.7,44.9,23.8,8.5,4.3,14.4,20.6,96.7,35.6,75.9,0.469,4.9,12.5,0.39,30.7,63.3,0.485,19.9,26.0,0.764,10.7,28.6,39.3,23.0,7.9,4.5,14.2,22.7,96.0,35.166666666666664,79.33333333333333,0.44216666666666665,4.166666666666667,11.666666666666666,0.3316666666666667,24.333333333333332,33.166666666666664,0.7475,14.5,28.0,42.5,21.5,9.833333333333334,4.5,9.833333333333334,26.166666666666668,98.83333333333333,31.333333333333332,67.5,0.4633333333333334,5.833333333333333,14.0,0.40149999999999997,24.5,33.333333333333336,0.7218333333333332,8.333333333333334,28.166666666666668,36.5,19.833333333333332,4.833333333333333,3.6666666666666665,15.166666666666666,28.333333333333332,93.0
1,35.6,75.9,0.469,4.9,12.5,0.39,30.7,63.3,0.485,19.9,26.0,0.764,10.7,28.6,39.3,23.0,7.9,4.5,14.2,22.7,96.0,37.4,82.9,0.451,3.8,11.7,0.323,33.6,71.2,0.471,18.2,24.5,0.743,15.2,29.7,44.9,23.8,8.5,4.3,14.4,20.6,96.7,31.333333333333332,67.5,0.4633333333333334,5.833333333333333,14.0,0.40149999999999997,24.5,33.333333333333336,0.7218333333333332,8.333333333333334,28.166666666666668,36.5,19.833333333333332,4.833333333333333,3.6666666666666665,15.166666666666666,28.333333333333332,93.0,35.166666666666664,79.33333333333333,0.44216666666666665,4.166666666666667,11.666666666666666,0.3316666666666667,24.333333333333332,33.166666666666664,0.7475,14.5,28.0,42.5,21.5,9.833333333333334,4.5,9.833333333333334,26.166666666666668,98.83333333333333
0,36.5,74.5,0.49,3.0,8.2,0.372,33.5,66.4,0.504,24.9,32.2,0.773,11.7,29.3,41.1,25.2,7.9,5.0,15.4,23.9,101.0,38.4,79.7,0.481,6.1,17.3,0.351,32.3,62.5,0.517,22.7,33.5,0.679,13.2,30.1,43.3,24.5,9.0,6.8,15.3,22.7,105.5,37.5,74.0,0.50675,3.25,8.25,0.44,24.0,30.5,0.7955,11.25,31.25,42.5,24.75,4.5,5.75,14.5,30.0,102.25,29.5,71.0,0.41975,5.25,18.5,0.2905,25.75,38.0,0.68125,12.0,23.5,35.5,18.0,7.75,6.75,13.75,28.0,90.0
1,38.4,79.7,0.481,6.1,17.3,0.351,32.3,62.5,0.517,22.7,33.5,0.679,13.2,30.1,43.3,24.5,9.0,6.8,15.3,22.7,105.5,36.5,74.5,0.49,3.0,8.2,0.372,33.5,66.4,0.504,24.9,32.2,0.773,11.7,29.3,41.1,25.2,7.9,5.0,15.4,23.9,101.0,29.5,71.0,0.41975,5.25,18.5,0.2905,25.75,38.0,0.68125,12.0,23.5,35.5,18.0,7.75,6.75,13.75,28.0,90.0,37.5,74.0,0.50675,3.25,8.25,0.44,24.0,30.5,0.7955,11.25,31.25,42.5,24.75,4.5,5.75,14.5,30.0,102.25
0,35.6,75.9,0.469,4.9,12.5,0.39,30.7,63.3,0.485,19.9,26.0,0.764,10.7,28.6,39.3,23.0,7.9,4.5,14.2,22.7,96.0,34.9,78.2,0.447,4.7,13.9,0.335,30.3,64.3,0.471,17.1,22.1,0.772,11.9,29.7,41.6,21.8,7.7,3.4,15.2,23.7,91.6,29.8,71.4,0.4192,4.0,12.4,0.3256,24.4,31.4,0.7766,8.8,30.4,39.2,18.2,6.2,4.6,12.4,18.0,88.0,31.6,76.2,0.41479999999999995,5.0,14.6,0.3422,14.0,19.6,0.6994,9.4,30.6,40.0,16.6,8.4,3.8,14.4,27.6,82.2
1,34.9,78.2,0.447,4.7,13.9,0.335,30.3,64.3,0.471,17.1,22.1,0.772,11.9,29.7,41.6,21.8,7.7,3.4,15.2,23.7,91.6,35.6,75.9,0.469,4.9,12.5,0.39,30.7,63.3,0.485,19.9,26.0,0.764,10.7,28.6,39.3,23.0,7.9,4.5,14.2,22.7,96.0,31.6,76.2,0.41479999999999995,5.0,14.6,0.3422,14.0,19.6,0.6994,9.4,30.6,40.0,16.6,8.4,3.8,14.4,27.6,82.2,29.8,71.4,0.4192,4.0,12.4,0.3256,24.4,31.4,0.7766,8.8,30.4,39.2,18.2,6.2,4.6,12.4,18.0,88.0
0,38.4,79.7,0.481,6.1,17.3,0.351,32.3,62.5,0.517,22.7,33.5,0.679,13.2,30.1,43.3,24.5,9.0,6.8,15.3,22.7,105.5,37.2,78.8,0.473,7.6,19.1,0.396,29.6,59.6,0.497,18.5,25.7,0.721,11.4,27.1,38.5,24.2,9.8,4.6,14.0,22.1,100.6,40.0,79.75,0.50475,7.0,20.0,0.3635,21.0,32.25,0.6532500000000001,17.25,29.0,46.25,26.75,8.75,9.25,14.5,19.0,108.0,37.75,79.5,0.47450000000000003,8.25,17.0,0.48924999999999996,15.25,22.75,0.685,12.0,24.25,36.25,23.0,10.0,4.5,14.0,27.0,99.0
1,37.2,78.8,0.473,7.6,19.1,0.396,29.6,59.6,0.497,18.5,25.7,0.721,11.4,27.1,38.5,24.2,9.8,4.6,14.0,22.1,100.6,38.4,79.7,0.481,6.1,17.3,0.351,32.3,62.5,0.517,22.7,33.5,0.679,13.2,30.1,43.3,24.5,9.0,6.8,15.3,22.7,105.5,37.75,79.5,0.47450000000000003,8.25,17.0,0.48924999999999996,15.25,22.75,0.685,12.0,24.25,36.25,23.0,10.0,4.5,14.0,27.0,99.0,40.0,79.75,0.50475,7.0,20.0,0.3635,21.0,32.25,0.6532500000000001,17.25,29.0,46.25,26.75,8.75,9.25,14.5,19.0,108.0
